day,time,snsr_11,snsr_12,snsr_21,snsr_22
0,00:03:27.55,3.22,4.14,2.41,1.84
0,00:03:27.57,2.87,4.02,2.41,2.18
0,00:03:27.59,2.87,4.02,2.53,1.84
0,00:03:27.61,2.76,3.79,2.53,2.07
0,00:03:27.63,2.99,3.68,2.18,1.95
0,00:03:27.65,2.76,4.02,2.53,2.3
0,00:03:27.67,2.87,4.02,2.3,1.95
0,00:03:27.69,2.87,3.91,2.64,1.95
0,00:03:27.71,2.76,4.25,2.3,1.72
0,00:03:27.73,2.87,4.37,2.53,1.72
0,00:03:27.75,2.87,3.79,2.18,2.3
0,00:03:27.78,2.64,4.14,2.53,1.72
0,00:03:27.80,2.76,3.91,2.64,1.95
0,00:03:27.82,2.99,3.91,2.41,1.49
0,00:03:27.84,2.76,3.91,2.18,1.84
0,00:03:27.86,2.76,4.25,2.18,1.84
0,00:03:27.88,2.76,4.25,2.64,1.84
0,00:03:27.90,2.87,4.25,2.07,1.61
0,00:03:27.92,2.99,4.14,2.18,1.95
0,00:03:27.94,2.99,4.25,2.76,1.84
0,00:03:27.97,2.87,4.14,2.41,2.07
0,00:03:27.99,2.64,4.02,2.3,1.84
0,00:03:28.01,2.64,4.37,2.18,1.95
0,00:03:28.03,2.76,4.25,2.3,1.72
0,00:03:28.05,2.87,4.37,2.53,1.84
0,00:03:28.07,2.87,3.91,2.41,1.95
0,00:03:28.09,2.99,4.14,2.64,2.07
0,00:03:28.11,2.99,4.6,2.41,1.84
0,00:03:28.13,2.87,4.25,2.3,1.84
0,00:03:28.16,2.99,4.02,2.3,1.95
0,00:03:28.18,2.99,4.02,2.64,1.84
0,00:03:28.20,2.76,4.37,2.76,1.95
0,00:03:28.22,3.1,4.37,2.18,1.95
0,00:03:28.24,2.87,4.14,2.18,1.49
0,00:03:28.26,3.22,4.02,2.3,1.84
0,00:03:28.28,2.99,3.91,2.53,1.84
0,00:03:28.30,2.76,3.79,2.41,1.84
0,00:03:28.32,2.87,3.91,2.3,1.84
0,00:03:28.34,2.99,4.14,2.64,1.84
0,00:03:28.37,3.22,4.37,2.41,1.61
0,00:03:28.39,2.41,4.37,2.41,2.07
0,00:03:28.41,2.87,4.6,2.53,2.18
0,00:03:28.43,2.76,4.02,2.64,1.95
0,00:03:28.45,3.22,3.91,2.3,1.72
0,00:03:28.47,2.76,4.37,2.53,1.84
0,00:03:28.49,2.76,4.37,2.18,1.95
0,00:03:28.51,2.99,4.02,2.3,1.72
0,00:03:28.53,2.76,3.91,2.41,1.84
0,00:03:28.56,2.53,4.25,2.41,1.95
0,00:03:28.58,2.87,4.37,2.18,1.84
0,00:03:28.60,3.1,3.91,2.41,1.84
0,00:03:28.62,2.99,4.14,2.53,1.72
0,00:03:28.64,2.64,4.48,2.3,1.72
0,00:03:28.66,3.1,4.25,2.18,1.84
0,00:03:28.68,2.76,4.25,2.76,2.18
0,00:03:28.70,2.64,4.37,2.41,1.61
0,00:03:28.72,2.87,4.14,2.3,1.84
0,00:03:28.75,2.76,4.25,2.3,1.72
0,00:03:28.77,2.87,4.37,2.64,1.72
0,00:03:28.79,2.87,4.14,2.3,1.84
0,00:03:28.81,2.99,4.02,2.41,1.84
0,00:03:28.83,2.87,4.25,2.3,1.38
0,00:03:28.85,2.76,4.37,2.41,1.72
0,00:03:28.87,2.99,4.02,2.76,1.95
0,00:03:28.89,2.87,4.25,2.3,1.61
0,00:03:28.91,2.76,4.02,2.07,1.84
0,00:03:28.93,2.64,4.25,2.41,1.84
0,00:03:28.95,2.76,3.91,2.3,1.95
0,00:03:28.98,2.64,4.25,2.3,1.95
0,00:03:29.00,2.41,4.02,2.64,1.84
0,00:03:29.02,2.99,3.91,2.41,1.72
0,00:03:29.04,2.64,4.14,2.41,1.72
0,00:03:29.06,2.76,3.91,2.3,1.84
0,00:03:29.08,2.87,4.14,1.95,1.84
0,00:03:29.10,2.99,4.25,2.53,1.61
0,00:03:29.12,2.87,4.02,2.07,1.84
0,00:03:29.14,2.87,3.91,2.41,1.49
0,00:03:29.17,2.76,4.02,2.53,1.72
0,00:03:29.19,2.99,4.48,2.07,1.84
0,00:03:29.21,3.1,3.91,2.07,1.49
0,00:03:29.23,2.87,4.02,2.3,1.84
0,00:03:29.25,2.64,4.14,2.41,1.84
0,00:03:29.27,2.76,4.02,2.41,1.49
0,00:03:29.29,2.64,4.14,2.41,1.84
0,00:03:29.31,3.1,4.02,2.53,1.72
0,00:03:29.33,3.1,3.91,2.53,1.72
0,00:03:29.35,2.99,3.68,2.53,1.72
0,00:03:29.38,2.87,4.02,2.3,1.61
0,00:03:29.40,2.87,3.91,2.3,1.84
0,00:03:29.42,2.87,3.91,2.3,1.95
0,00:03:29.44,2.87,4.25,2.41,2.07
0,00:03:29.46,2.99,4.25,2.41,1.84
0,00:03:29.48,2.99,4.25,2.18,1.72
0,00:03:29.50,2.99,4.14,2.41,1.72
0,00:03:29.52,2.87,4.25,2.18,1.95
0,00:03:29.54,2.87,3.79,2.41,1.84
0,00:03:29.57,2.76,4.02,2.07,1.72
0,00:03:29.59,2.87,4.14,2.41,1.95
0,00:03:29.61,2.76,4.37,2.53,1.95
